1036	2190	2169	1657	1663
1055	1673	2026	1640	1434
1070	1673	2163	1962	1766
1076	1435	1669	1335	1163
1092	2165	2102	1516	1344
1093	2005	1432	1444	1212
1102	2158	1891	1502	1678
1108	1497	2159	2159	1140
1136	1214	1641	1073	1531
1140	2158	1163	1482	1809
1142	2147	1159	1891	1142
1144	1497	1673	1666	1073
1159	1159	1159	1159	1159
1170	1353	1891	1515	2035
1173	1163	1761	1390	1342
1207	1643	1896	1662	2158
1212	1144	1666	1468	1640
1222	1442	1641	1644	1673
1274	1678	1341	2190	2035
1308	1649	1323	1482	1136
1314	1646	1435	1766	1354
1315	1644	1405	1644	1672
1317	1640	1527	1885	2025
1320	2138	1809	1036	1482
1323	2035	1766	1212	2159
1324	1495	1397	1546	1640
1330	1885	2158	1330	1766
1332	1170	1434	1036	1643
1334	2147	1468	1073	1600
1335	1359	1469	1497	2170
1336	1325	1482	2147	1212
1337	1497	1497	1891	1342
1339	1501	1891	2191	1678
1340	1142	2167	1034	2135
1341	1390	2035	1633	2144
1345	1102	1766	1274	1570
1348	1663	1530	1459	1332
1350	1531	1515	1322	1451
1352	2151	1766	2147	1354
1353	1353	2174	1646	1668
1354	2151	2151	2151	1354
1359	1359	1672	1159	1672
1360	1516	2165	1585	1344
1362	1766	1653	2159	1351
1363	1482	2174	2026	1354
1371	1678	1274	1645	1530
1374	1434	1885	1662	1514
1376	1663	1324	1344	1644
1381	1766	2184	2035	2158
1384	1142	2167	1678	1397
1391	2153	1659	2159	1036
1392	2141	1456	1571	1524
1395	1521	1163	1527	1358
1396	1073	1466	1510	1406
1397	1809	1341	2158	1672
1397	1505	1495	1641	1342
1398	1518	2151	1470	1750
1402	1766	1962	1497	1371
1406	1342	1466	2184	1348
1430	1340	2192	1380	1891
1431	1459	1390	1390	2147
1432	1437	2005	2158	1666
1434	2151	1809	2159	1163
1435	1510	1672	1659	1636
1437	1341	1392	1449	1380
1438	2144	1663	2006	2159
1439	1896	2184	1484	1212
