0.019384 	0.021712 	0.020999 	0.015910 	0.009422 	0.004491 	0.008932 	0.035995 	0.047802 	0.061983 	0.080298 	0.069170 	0.097951 	0.107133 	0.103307 	0.126035 	0.222156 	0.302411 	0.268952 	0.314937 	0.442250 	0.277695 	 
0.012457 	0.015566 	0.011618 	0.005578 	0.011203 	0.014822 	0.024703 	0.054547 	0.075832 	0.057942 	0.055681 	0.084763 	0.086218 	0.084361 	0.079773 	0.105615 	0.200181 	0.271890 	0.215492 	0.261725 	0.440430 	0.267947 	 
0.014943 	0.014199 	0.013710 	0.012186 	0.012795 	0.018160 	0.028126 	0.050180 	0.070671 	0.041091 	0.028566 	0.049072 	0.034621 	0.025577 	0.029600 	0.063238 	0.128721 	0.117947 	0.074088 	0.126784 	0.293595 	0.247895 	 
0.008734 	0.010161 	0.012699 	0.012047 	0.007607 	0.010493 	0.013012 	0.026248 	0.046828 	0.026774 	0.021885 	0.029328 	0.017945 	0.008258 	0.016762 	0.036732 	0.063049 	0.048009 	0.037405 	0.078249 	0.156472 	0.168776 	 
0.001289 	0.004213 	0.007770 	0.005954 	0.002974 	0.006732 	0.017021 	0.027613 	0.029340 	0.010636 	0.018095 	0.037274 	0.027920 	0.010463 	0.009216 	0.017371 	0.063784 	0.035561 	0.051277 	0.095093 	0.120513 	0.087940 	 
0.005508 	0.006994 	0.008615 	0.006925 	0.005188 	0.012203 	0.024641 	0.021930 	0.018047 	0.012701 	0.013699 	0.029029 	0.028015 	0.015605 	0.025813 	0.023893 	0.069943 	0.059209 	0.058055 	0.108039 	0.115673 	0.094557 	 
0.006030 	0.009063 	0.010727 	0.009334 	0.007789 	0.012638 	0.024805 	0.022446 	0.018817 	0.024673 	0.015110 	0.015664 	0.020918 	0.024650 	0.043046 	0.030025 	0.075562 	0.080689 	0.042387 	0.084385 	0.109799 	0.110206 	 
0.011912 	0.012424 	0.009699 	0.004856 	0.003257 	0.005476 	0.019383 	0.027812 	0.020095 	0.025971 	0.029648 	0.021858 	0.031255 	0.026717 	0.038369 	0.046042 	0.070719 	0.064385 	0.034264 	0.076579 	0.093943 	0.084233 	 
0.022044 	0.017188 	0.011113 	0.005084 	0.003675 	0.005315 	0.013083 	0.022431 	0.014302 	0.019185 	0.033099 	0.039707 	0.031321 	0.017060 	0.026651 	0.035633 	0.051605 	0.041911 	0.047550 	0.059450 	0.062432 	0.044726 	 
0.025103 	0.018886 	0.013321 	0.008429 	0.005529 	0.002914 	0.006232 	0.013447 	0.018046 	0.014825 	0.017968 	0.035752 	0.025412 	0.009747 	0.019004 	0.023372 	0.035006 	0.029388 	0.041471 	0.041927 	0.043432 	0.035940 	 
